date,time,queue_length,queue_time,people_processed,lane_count
20/12/2023 00:00,8:50:00,32,81,231,17
20/12/2023 00:00,8:55:00,55,71,193,17
20/12/2023 00:00,9:00:00,36,45,246,17
20/12/2023 00:00,9:05:00,53,67,247,17
20/12/2023 00:00,9:10:00,39,129,263,17
20/12/2023 00:00,9:15:00,72,125,237,17
20/12/2023 00:00,9:20:00,71,131,263,17
20/12/2023 00:00,9:25:00,29,115,242,17
20/12/2023 00:00,9:30:00,42,115,284,17
20/12/2023 00:00,9:35:00,98,125,248,17
20/12/2023 00:00,9:40:00,78,151,272,17
20/12/2023 00:00,9:45:00,74,117,280,17
20/12/2023 00:00,9:50:00,93,113,276,17
20/12/2023 00:00,9:55:00,61,145,293,17
20/12/2023 00:00,10:00:00,61,127,270,17
20/12/2023 00:00,10:05:00,69,117,288,17
20/12/2023 00:00,10:10:00,71,85,240,17
20/12/2023 00:00,10:15:00,56,183,264,17
20/12/2023 00:00,10:20:00,32,83,283,17
20/12/2023 00:00,10:25:00,35,115,264,17
20/12/2023 00:00,10:30:00,45,75,222,17
20/12/2023 00:00,10:35:00,53,127,237,17
20/12/2023 00:00,10:40:00,75,75,250,17
20/12/2023 00:00,10:45:00,27,55,225,17
20/12/2023 00:00,10:50:00,37,77,222,17
20/12/2023 00:00,10:55:00,42,137,222,17
20/12/2023 00:00,11:00:00,26,113,202,17
20/12/2023 00:00,11:05:00,46,105,218,17
20/12/2023 00:00,11:10:00,44,95,228,17
20/12/2023 00:00,11:15:00,34,115,229,16
20/12/2023 00:00,11:20:00,30,101,179,16
20/12/2023 00:00,11:25:00,24,55,152,15
20/12/2023 00:00,11:30:00,22,71,160,15
20/12/2023 00:00,11:35:00,34,101,172,15
20/12/2023 00:00,11:40:00,40,77,180,15
20/12/2023 00:00,11:45:00,29,71,174,14
20/12/2023 00:00,11:50:00,26,77,154,14
20/12/2023 00:00,11:55:00,31,47,163,14
20/12/2023 00:00,12:00:00,22,67,136,14
20/12/2023 00:00,12:05:00,19,63,139,14
